id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,coordinate_type
722033385548929274,480415786,Khlong Toei,13.73378,100.55889,Entire home/apt,1863,1,1,2022-09-24,0.31,9,362,individual
722039727977197287,434168399,Vadhana,13.73804,100.59704,Entire home/apt,12714,1,2,2022-12-12,0.91,44,365,individual
722044479006437322,307765558,Phra Nakhon,13.7601167,100.4983664,Private room,1536,1,7,2022-11-30,2.39,1,315,individual
722063736722760378,201677068,Khlong Toei,13.7168468,100.5847812,Entire home/apt,2099,1,5,2022-12-26,1.81,228,359,multi_host_building
722066863141316826,434168399,Vadhana,13.73617,100.59715,Entire home/apt,6364,1,1,2022-12-18,1.0,44,364,individual
722089921018076481,434168399,Vadhana,13.73572,100.59673,Entire home/apt,4714,1,2,2022-11-05,0.74,44,365,individual
722094496249064940,268046710,Vadhana,13.73874,100.56748,Entire home/apt,5250,7,1,2022-09-29,0.33,13,163,individual
722098064468104330,434168399,Vadhana,13.73783,100.59655,Entire home/apt,6486,1,0,,0.0,44,365,individual
722109407407604173,268046710,Vadhana,13.73997,100.5658,Entire home/apt,2571,7,2,2022-11-26,0.8,13,150,individual
716400758491869612,152789821,Bang Kho laen,13.6988164,100.500118,Entire home/apt,2580,1,2,2022-12-16,1.82,1,334,individual
716488210150014797,20133201,Huai Khwang,13.75387,100.56506,Entire home/apt,1280,28,0,,0.0,33,347,individual
716494565339813559,20133201,Huai Khwang,13.75582,100.56519,Entire home/apt,1280,28,2,2022-11-23,0.73,33,347,individual
716499334580802631,20133201,Huai Khwang,13.75421,100.5649,Entire home/apt,1280,30,0,,0.0,33,347,individual
716682323959995531,387473883,Wang Thong Lang,13.77764,100.61356,Entire home/apt,1490,2,0,,0.0,2,365,individual
716814433290447845,461296730,Vadhana,13.7246941,100.5814761,Entire home/apt,2166,1,3,2022-11-26,1.3,2,352,individual
716868546889373942,187216282,Khlong Toei,13.71838,100.58113,Private room,1500,30,0,,0.0,1,365,individual
716928013038422881,434168399,Vadhana,13.73799,100.57793,Entire home/apt,5479,1,0,,0.0,44,365,individual
716933946712514756,20133201,Ratchathewi,13.75001,100.55431,Entire home/apt,1451,2,1,2022-12-07,1.0,33,357,individual
